timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719582105370,194,Demo_qa2-1,200,OK,Usuarios 1-13,text,true,,3436,117,7,7,https://demoqa.com/forms,194,0,0
1719582105255,393,Demo_qa3,200,OK,Usuarios 1-10,text,true,,3832,250,7,7,https://demoqa.com/alertsWindows,196,0,0
1719582105255,196,Demo_qa3-0,301,Moved Permanently,Usuarios 1-10,text,true,,396,125,7,7,http://demoqa.com/alertsWindows,196,0,0
1719582105451,197,Demo_qa3-1,200,OK,Usuarios 1-10,text,true,,3436,125,7,7,https://demoqa.com/alertsWindows,197,0,0
1719582105367,384,Demo_qa2,200,OK,Usuarios 1-14,text,true,,3824,234,6,6,https://demoqa.com/forms,189,0,0
1719582105367,189,Demo_qa2-0,301,Moved Permanently,Usuarios 1-14,text,true,,388,117,6,6,http://demoqa.com/forms,189,0,0
1719582105556,195,Demo_qa2-1,200,OK,Usuarios 1-14,text,true,,3436,117,6,6,https://demoqa.com/forms,195,0,0
1719582105367,391,Demo_qa3,200,OK,Usuarios 1-11,text,true,,3832,250,6,6,https://demoqa.com/alertsWindows,199,0,0
1719582105367,199,Demo_qa3-0,301,Moved Permanently,Usuarios 1-11,text,true,,396,125,6,6,http://demoqa.com/alertsWindows,199,0,0
1719582105566,192,Demo_qa3-1,200,OK,Usuarios 1-11,text,true,,3436,125,6,6,https://demoqa.com/alertsWindows,192,0,0
1719582105420,377,Demo_qa3,200,OK,Usuarios 1-8,text,true,,3832,250,5,5,https://demoqa.com/alertsWindows,189,0,0
1719582105420,189,Demo_qa3-0,301,Moved Permanently,Usuarios 1-8,text,true,,396,125,5,5,http://demoqa.com/alertsWindows,189,0,0
1719582105609,188,Demo_qa3-1,200,OK,Usuarios 1-8,text,true,,3436,125,5,5,https://demoqa.com/alertsWindows,188,0,0
1719582105467,375,Demo_qa2,200,OK,Usuarios 1-15,text,true,,3824,234,4,4,https://demoqa.com/forms,185,0,0
1719582105467,185,Demo_qa2-0,301,Moved Permanently,Usuarios 1-15,text,true,,388,117,4,4,http://demoqa.com/forms,185,0,0
1719582105652,190,Demo_qa2-1,200,OK,Usuarios 1-15,text,true,,3436,117,4,4,https://demoqa.com/forms,190,0,0
1719582105485,385,Demo_qa3,200,OK,Usuarios 1-12,text,true,,3832,250,4,4,https://demoqa.com/alertsWindows,186,0,0
1719582105485,186,Demo_qa3-0,301,Moved Permanently,Usuarios 1-12,text,true,,396,125,4,4,http://demoqa.com/alertsWindows,186,0,0
1719582105671,199,Demo_qa3-1,200,OK,Usuarios 1-12,text,true,,3436,125,4,4,https://demoqa.com/alertsWindows,199,0,0
1719582105565,374,Demo_qa3,200,OK,Usuarios 1-13,text,true,,3832,250,3,3,https://demoqa.com/alertsWindows,182,0,0
1719582105565,182,Demo_qa3-0,301,Moved Permanently,Usuarios 1-13,text,true,,396,125,3,3,http://demoqa.com/alertsWindows,182,0,0
1719582105747,192,Demo_qa3-1,200,OK,Usuarios 1-13,text,true,,3436,125,3,3,https://demoqa.com/alertsWindows,192,0,0
1719582105751,383,Demo_qa3,200,OK,Usuarios 1-14,text,true,,3832,250,2,2,https://demoqa.com/alertsWindows,187,0,0
1719582105751,187,Demo_qa3-0,301,Moved Permanently,Usuarios 1-14,text,true,,396,125,2,2,http://demoqa.com/alertsWindows,187,0,0
1719582105938,196,Demo_qa3-1,200,OK,Usuarios 1-14,text,true,,3436,125,2,2,https://demoqa.com/alertsWindows,196,0,0
1719582105842,373,Demo_qa3,200,OK,Usuarios 1-15,text,true,,3832,250,1,1,https://demoqa.com/alertsWindows,184,0,0
1719582105842,184,Demo_qa3-0,301,Moved Permanently,Usuarios 1-15,text,true,,396,125,1,1,http://demoqa.com/alertsWindows,184,0,0
1719582106026,189,Demo_qa3-1,200,OK,Usuarios 1-15,text,true,,3436,125,1,1,https://demoqa.com/alertsWindows,189,0,0
